!RNX Dual-Polarized Feed Calibration Data
!Created: 20250728T094434ZZ
!Operator: Default
!Base Parameters:
!  Reference_Power: -10.0_-5.0 dBm
!  Polarization: DUAL
!  Distance: 1.0 m
!Equipment:
!  Signal_Generator: PLASG-T8G40G_SN:
!  Spectrum_Analyzer: NRP50S_SN:
!  Antenna: RNX_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8.0 GHz
!  Stop: 40.0 GHz
!  Step: FreqList GHz
!  Points: 324
!Data Columns:
!  1: Frequency(GHz)
!  2: Theta(dB)
!  3: Phi(dB)
!  4: Horn_Gain(GHz)
!  5: Theta_corrected(dB)
!  6: Phi_corrected(dB)
!  7: Theta_corrected_V/M(V/M)
!  8: Phi_corrected_V/M(V/M)
!  9: Reference_Power(dBm)
! 10: Polarization
!VersionNotes: Merged calibration file from multiple sources
!BaseParams: {"ref_power": "-10.0_-5.0", "polarization": "DUAL", "distance": 1.0, "operator": "SYSTEM"}
Frequency,Theta,Phi,Horn_Gain,Theta_corrected,Phi_corrected,Theta_corrected_V/M,Phi_corrected_V/M,Reference_Power,Polarization
34.800000,-2.64,-2.87,20.50959,-23.15,-23.38,17.58,17.12,-5.00,DUAL
34.900000,-2.64,-3.21,20.55044,-23.19,-23.76,17.55,16.42,-5.00,DUAL
35.000000,-2.67,-3.07,20.59567,-23.27,-23.66,17.44,16.66,-5.00,DUAL
35.100000,-2.49,-2.93,20.64483,-23.14,-23.58,17.75,16.87,-5.00,DUAL
35.200000,-2.31,-2.84,20.69991,-23.01,-23.54,18.06,17.00,-5.00,DUAL
35.300000,-2.44,-2.85,20.74705,-23.19,-23.60,17.74,16.93,-5.00,DUAL
35.400000,-2.43,-2.62,20.78689,-23.21,-23.41,17.74,17.34,-5.00,DUAL
35.500000,-2.75,-2.95,20.80672,-23.56,-23.76,17.10,16.71,-5.00,DUAL
35.600000,-1.87,-2.26,20.81371,-22.68,-23.07,18.96,18.13,-5.00,DUAL
35.700000,-2.39,-2.75,20.80985,-23.20,-23.56,17.93,17.20,-5.00,DUAL
35.800000,-2.74,-3.08,20.79573,-23.53,-23.88,17.30,16.62,-5.00,DUAL
35.900000,-2.98,-3.26,20.77960,-23.76,-24.04,16.90,16.36,-5.00,DUAL
36.000000,-2.07,-2.50,20.76061,-22.83,-23.26,18.85,17.95,-5.00,DUAL
36.100000,-2.43,-2.88,20.74146,-23.17,-23.63,18.19,17.25,-5.00,DUAL
36.200000,-2.80,-3.24,20.72220,-23.52,-23.97,17.51,16.64,-5.00,DUAL
36.300000,-3.07,-3.13,20.71405,-23.79,-23.85,17.03,16.91,-5.00,DUAL
36.400000,-3.00,-3.24,20.71127,-23.71,-23.95,17.22,16.76,-5.00,DUAL
36.500000,-2.97,-3.17,20.72013,-23.69,-23.89,17.32,16.92,-5.00,DUAL
36.600000,-3.03,-3.37,20.73988,-23.77,-24.11,17.20,16.54,-5.00,DUAL
36.700000,-2.94,-2.98,20.76626,-23.71,-23.75,17.37,17.30,-5.00,DUAL
36.800000,-3.76,-4.01,20.80774,-24.57,-24.82,15.78,15.34,-5.00,DUAL
36.900000,-3.29,-3.51,20.85237,-24.14,-24.36,16.62,16.21,-5.00,DUAL
37.000000,-2.79,-2.94,20.90014,-23.69,-23.84,17.55,17.25,-5.00,DUAL
37.100000,-2.74,-2.99,20.95150,-23.69,-23.94,17.60,17.10,-5.00,DUAL
37.200000,-3.70,-3.91,21.00533,-24.71,-24.91,15.70,15.33,-5.00,DUAL
37.300000,-3.12,-3.62,21.06158,-24.18,-24.68,16.73,15.78,-5.00,DUAL
37.400000,-3.16,-3.55,21.12000,-24.28,-24.67,16.57,15.86,-5.00,DUAL
37.500000,-3.57,-4.07,21.17842,-24.75,-25.25,15.74,14.86,-5.00,DUAL
37.600000,-3.36,-3.72,21.23539,-24.60,-24.95,16.07,15.42,-5.00,DUAL
37.700000,-3.10,-3.27,21.28903,-24.38,-24.55,16.51,16.19,-5.00,DUAL
37.800000,-3.88,-4.01,21.34142,-25.22,-25.35,15.04,14.81,-5.00,DUAL
37.900000,-4.80,-4.82,21.39038,-26.19,-26.21,13.49,13.46,-5.00,DUAL
38.000000,-3.63,-3.79,21.43463,-25.06,-25.23,15.39,15.11,-5.00,DUAL
38.100000,-3.73,-3.78,21.47587,-25.20,-25.26,15.19,15.09,-5.00,DUAL
38.200000,-4.40,-4.53,21.51373,-25.92,-26.04,14.03,13.82,-5.00,DUAL
38.300000,-5.06,-4.83,21.54593,-26.61,-26.38,12.99,13.34,-5.00,DUAL
38.400000,-4.66,-4.64,21.56504,-26.22,-26.20,13.61,13.65,-5.00,DUAL
38.500000,-5.21,-5.36,21.57824,-26.79,-26.93,12.78,12.57,-5.00,DUAL
38.600000,-5.06,-5.44,21.57824,-26.64,-27.02,13.04,12.48,-5.00,DUAL
38.700000,-5.39,-5.47,21.57709,-26.97,-27.05,12.59,12.47,-5.00,DUAL
38.800000,-6.61,-6.39,21.57459,-28.19,-27.97,10.97,11.25,-5.00,DUAL
38.900000,-7.37,-7.16,21.58084,-28.95,-28.74,10.07,10.32,-5.00,DUAL
39.000000,-6.18,-6.19,21.59140,-27.78,-27.78,11.56,11.56,-5.00,DUAL
39.100000,-6.18,-6.57,21.61915,-27.80,-28.18,11.56,11.06,-5.00,DUAL
39.200000,-7.21,-7.54,21.65246,-28.86,-29.19,10.25,9.87,-5.00,DUAL
39.300000,-7.86,-7.90,21.69118,-29.55,-29.59,9.50,9.45,-5.00,DUAL
39.400000,-7.59,-7.56,21.72743,-29.32,-29.29,9.77,9.81,-5.00,DUAL
39.500000,-7.99,-8.11,21.76028,-29.75,-29.87,9.33,9.20,-5.00,DUAL
39.600000,-7.94,-8.23,21.78853,-29.73,-30.02,9.37,9.06,-5.00,DUAL
39.700000,-8.06,-8.51,21.81173,-29.87,-30.32,9.24,8.78,-5.00,DUAL
39.800000,-8.53,-8.92,21.83703,-30.37,-30.76,8.75,8.37,-5.00,DUAL
39.900000,-9.46,-9.42,21.88197,-31.34,-31.30,7.84,7.88,-5.00,DUAL
40.000000,-9.38,-9.66,21.89330,-31.27,-31.55,7.93,7.68,-5.00,DUAL
!EndOfData: 2025-07-28T09:44:34Z
!Notes: Merged calibration file from multiple sources
!MD5: 2fad0c58c833e4eaed809798b6310be6
