!RNX Dual-Polarized Feed Calibration Data
!Created: 20250709T114702ZZ
!Operator: SYSTEM
!Equipment:
!  Signal_Generator: DEFAULT_SG_SN:SN00000
!  Spectrum_Analyzer: DEFAULT_SA_SN:SN00000
!  Antenna: DEFAULT_ANT_SN:SN00000
!Environment: 25.0C, 50.0%RH
!Frequency:
!  Start: 8 GHz
!  Stop: 40 GHz
!  Step: 0.01 GHz
!  Points: 3201
!Data Columns:
!  1: Frequency(GHz)
!  2: X_Theta(dB)
!  3: X_Phi(dB)
!  4: Ku_Theta(dB)
!  5: Ku_Phi(dB)
!  6: K_Theta(dB)
!  7: K_Phi(dB)
!  8: Ka_Theta(dB)
!  9: Ka_Phi(dB)
Frequency(GHz),X_Theta,X_Phi,Ku_Theta,Ku_Phi,K_Theta,K_Phi,Ka_Theta,Ka_Phi
11.660,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.670,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.680,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.690,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.700,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.720,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.730,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.740,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.750,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.770,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.780,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.790,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.810,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.820,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.830,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.840,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.850,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.860,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.870,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.880,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.890,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.900,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.910,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.920,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.930,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.940,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.950,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.960,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.970,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.980,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
11.990,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.010,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.480,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.500,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.510,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.520,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.530,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.540,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.550,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.560,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.580,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.590,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.600,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.610,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.620,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.630,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.640,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.650,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.660,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.670,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.680,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.690,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.700,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.720,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.730,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.740,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.750,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.770,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.780,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.790,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.810,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.820,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.830,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.840,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.850,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.860,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.870,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.880,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.890,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.900,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.910,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.920,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.930,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.940,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.950,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.960,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.970,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.980,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
12.990,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.010,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.480,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.500,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.510,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.520,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.530,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.540,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.550,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.560,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.580,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.590,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.600,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.610,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.620,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.630,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.640,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.650,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.660,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.670,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.680,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.690,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.700,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.720,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.730,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.740,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.750,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.770,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.780,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.790,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.810,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.820,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.830,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.840,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.850,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.860,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.870,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.880,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.890,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.900,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.910,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.920,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.930,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.940,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.950,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.960,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.970,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.980,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
13.990,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.010,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.480,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.500,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.510,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.520,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.530,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.540,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.550,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.560,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.580,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.590,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.600,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.610,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.620,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.630,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.640,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.650,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.660,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.670,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.680,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.690,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.700,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.720,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.730,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.740,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.750,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.770,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.780,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.790,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.810,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.820,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.830,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.840,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.850,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.860,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.870,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.880,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.890,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.900,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.910,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.920,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.930,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.940,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.950,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.960,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.970,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.980,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.990,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.010,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
